instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K1.json,1,50,50.512,0,91757,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K10.json,10,50,51.582,0,592087,9,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K2.json,2,50,50.842,0,181132,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K3.json,3,50,51.090,0,268751,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K4.json,4,50,52.330,0,355022,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K5.json,5,50,51.420,0,438724,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K6.json,6,50,52.085,0,520050,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K7.json,7,50,51.562,0,592087,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K8.json,8,50,51.578,0,592087,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/18/18_K9.json,9,50,51.574,0,592087,8,9,0
