instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K1.json,1,50,50.355,0,7694,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K10.json,10,50,51.602,0,54088,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K11.json,11,50,51.709,0,57297,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K12.json,12,50,51.793,0,60351,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K13.json,13,50,51.807,0,63193,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K14.json,14,50,51.897,0,66034,14,14,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K15.json,15,50,51.888,0,68301,15,15,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K16.json,16,50,51.957,0,70004,16,16,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K17.json,17,50,51.983,0,71683,17,17,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K18.json,18,50,52.015,0,72156,18,18,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K19.json,19,50,51.993,0,72204,19,19,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K2.json,2,50,50.641,0,14830,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K20.json,20,50,52.023,0,72204,20,20,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K21.json,21,50,52.060,0,71646,21,21,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K22.json,22,50,52.045,0,71646,22,22,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K23.json,23,50,52.062,0,71646,23,23,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K24.json,24,50,52.092,0,71646,24,24,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K25.json,25,50,52.095,0,71646,23,25,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K26.json,26,50,52.102,0,71646,26,26,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K27.json,27,50,52.064,0,71646,27,27,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K28.json,28,50,52.157,0,71646,27,28,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K29.json,29,50,52.113,0,71646,28,29,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K3.json,3,50,50.794,0,20706,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K30.json,30,50,52.113,0,71646,29,30,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K31.json,31,50,52.105,0,71646,30,31,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K32.json,32,50,52.124,0,71646,31,32,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K33.json,33,50,52.118,0,71646,31,33,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K34.json,34,50,52.190,0,71646,33,34,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K35.json,35,50,52.170,0,71646,35,35,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K36.json,36,50,52.152,0,71646,36,36,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K37.json,37,50,52.154,0,71646,37,37,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K38.json,38,50,52.195,0,71646,37,38,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K39.json,39,50,52.207,0,71646,38,39,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K4.json,4,50,50.965,0,26566,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K40.json,40,50,52.198,0,71646,39,40,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K5.json,5,50,51.120,0,31907,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K6.json,6,50,51.325,0,36680,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K7.json,7,50,51.382,0,41332,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K8.json,8,50,51.475,0,45917,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/1/1_K9.json,9,50,51.597,0,50099,9,9,1
