instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K1.json,1,50,50.351,0,7940,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K10.json,10,50,51.681,0,60726,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K11.json,11,50,51.582,0,60726,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K12.json,12,50,51.609,0,60726,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K13.json,13,50,51.669,0,60726,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K14.json,14,50,51.760,0,60726,12,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K15.json,15,50,51.758,0,60726,12,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K16.json,16,50,51.804,0,60726,12,16,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K2.json,2,50,50.655,0,15484,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K3.json,3,50,50.739,0,22591,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K4.json,4,50,50.896,0,29157,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K5.json,5,50,51.044,0,35169,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K6.json,6,50,51.170,0,41006,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K7.json,7,50,51.399,0,46648,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K8.json,8,50,51.444,0,52033,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/7/7_K9.json,9,50,51.476,0,57158,9,9,1
