instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K1.json,1,50,50.496,0,94916,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K10.json,10,50,51.506,0,614152,8,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K2.json,2,50,52.035,0,187009,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K3.json,3,50,51.041,0,277303,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K4.json,4,50,51.234,0,365908,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K5.json,5,50,51.361,0,452328,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K6.json,6,50,51.444,0,535377,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K7.json,7,50,51.492,0,614152,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K8.json,8,50,51.501,0,614152,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/25/25_K9.json,9,50,51.527,0,614152,8,9,0
