instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K1.json,1,50,50.500,0,94103,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K10.json,10,50,51.520,0,599613,8,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K2.json,2,50,51.101,0,186231,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K3.json,3,50,51.253,0,276941,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K4.json,4,50,51.230,0,365414,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K5.json,5,50,52.420,0,452319,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K6.json,6,50,51.467,0,533952,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K7.json,7,50,51.476,0,599613,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K8.json,8,50,51.512,0,599613,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/21/21_K9.json,9,50,51.531,0,599613,8,9,0
