instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K1.json,1,50,50.523,0,25855,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K10.json,10,50,51.601,0,131597,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K11.json,11,50,51.651,0,131597,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K12.json,12,50,51.666,0,131597,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K13.json,13,50,51.659,0,131597,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K14.json,14,50,51.646,0,131597,14,14,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K15.json,15,50,51.647,0,131597,14,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K16.json,16,50,51.684,0,131597,16,16,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K17.json,17,50,51.696,0,131597,14,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K18.json,18,50,51.681,0,131597,17,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K19.json,19,50,51.662,0,131597,17,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K2.json,2,50,51.439,0,50704,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K20.json,20,50,51.651,0,131597,15,20,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K3.json,3,50,51.127,0,71080,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K4.json,4,50,51.498,0,90472,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K5.json,5,50,51.505,0,109005,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K6.json,6,50,53.160,0,124371,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K7.json,7,50,51.651,0,131810,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K8.json,8,50,52.633,0,131597,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/5/5_K9.json,9,50,51.646,0,131597,9,9,1
