instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K1.json,1,50,50.382,0,13952,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K10.json,10,50,51.825,0,86266,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K11.json,11,50,51.818,0,87536,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K12.json,12,50,51.668,0,84759,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K13.json,13,50,51.926,0,84759,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K14.json,14,50,51.898,0,84759,14,14,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K15.json,15,50,51.681,0,84759,15,15,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K16.json,16,50,51.688,0,84759,16,16,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K17.json,17,50,51.670,0,84759,17,17,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K18.json,18,50,51.723,0,84759,18,18,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K19.json,19,50,51.710,0,84759,19,19,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K2.json,2,50,50.716,0,24920,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K20.json,20,50,51.725,0,84759,19,20,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K3.json,3,50,50.829,0,35367,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K4.json,4,50,51.001,0,44673,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K5.json,5,50,51.401,0,53149,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K6.json,6,50,51.286,0,61534,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K7.json,7,50,51.563,0,68911,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K8.json,8,50,51.894,0,75058,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/10/10_K9.json,9,50,51.569,0,80767,9,9,1
