instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K1.json,1,50,50.494,0,94309,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K10.json,10,50,51.509,0,607949,8,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K2.json,2,50,50.810,0,186458,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K3.json,3,50,51.742,0,277302,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K4.json,4,50,52.505,0,366027,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K5.json,5,50,51.372,0,452919,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K6.json,6,50,51.487,0,537469,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K7.json,7,50,52.895,0,607949,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K8.json,8,50,51.506,0,607949,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/22/22_K9.json,9,50,51.522,0,607949,8,9,0
