instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K1.json,1,50,50.348,0,8102,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K10.json,10,50,51.393,0,63612,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K11.json,11,50,51.486,0,66820,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K12.json,12,50,51.633,0,69211,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K13.json,13,50,51.552,0,71116,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K14.json,14,50,51.674,0,70748,14,14,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K15.json,15,50,51.731,0,70264,15,15,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K16.json,16,50,51.672,0,66193,16,16,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K17.json,17,50,51.777,0,66193,17,17,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K18.json,18,50,51.690,0,66193,18,18,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K19.json,19,50,51.629,0,66193,19,19,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K2.json,2,50,50.692,0,15678,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K20.json,20,50,51.651,0,66193,20,20,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K3.json,3,50,50.685,0,23161,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K4.json,4,50,50.958,0,30609,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K5.json,5,50,50.964,0,37024,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K6.json,6,50,51.074,0,43239,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K7.json,7,50,51.277,0,49108,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K8.json,8,50,51.287,0,54413,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/3/3_K9.json,9,50,51.489,0,59311,9,9,1
