instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K1.json,1,50,50.417,0,10204,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K10.json,10,50,51.711,0,68980,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K11.json,11,50,51.902,0,68639,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K12.json,12,50,52.169,0,64127,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K13.json,13,50,51.849,0,64127,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K14.json,14,50,51.871,0,64127,14,14,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K15.json,15,50,51.845,0,64127,15,15,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K16.json,16,50,51.846,0,64127,16,16,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K17.json,17,50,51.825,0,64127,17,17,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K18.json,18,50,51.836,0,64127,18,18,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K19.json,19,50,51.875,0,64127,19,19,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K2.json,2,50,50.692,0,19017,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K20.json,20,50,51.859,0,64127,19,20,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K3.json,3,50,50.921,0,27554,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K4.json,4,50,51.102,0,35790,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K5.json,5,50,51.271,0,43398,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K6.json,6,50,51.397,0,49883,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K7.json,7,50,51.519,0,56233,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K8.json,8,50,51.792,0,61993,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/0/0_K9.json,9,50,51.719,0,66642,9,9,1
