instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,1,50,24.137,0,94992,23988,12367,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,2,50,52.035,0,187085,60335,26159,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,3,50,79.373,0,277380,99010,41022,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,4,50,103.244,0,365985,132052,55335,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,5,50,132.498,0,452477,167543,69618,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,6,50,157.344,0,535573,213366,85718,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,7,50,196.991,0,614526,289784,106276,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,8,50,193.146,0,614525,289789,106277,7,8,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,9,50,193.312,0,614467,291616,106335,7,9,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/25.json,10,50,195.291,0,614466,291093,106336,7,10,0
