instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,1,50,9.525,0,94271,36029,12856,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,2,50,19.779,0,185357,65501,25885,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,3,50,27.683,0,272987,101007,38891,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,4,50,37.981,0,358420,129623,51869,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,5,50,43.573,0,434239,160958,64715,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,6,50,50.661,0,506942,196118,77668,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,7,50,53.140,0,567236,244923,90447,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,8,50,55.184,0,615851,291603,102912,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,9,50,55.105,0,615851,291603,102912,8,9,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,10,50,54.689,0,615851,291603,102912,8,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,11,50,55.868,0,615851,291603,102912,8,11,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,12,50,55.897,0,615767,292597,102996,8,12,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/20.json,13,50,55.698,0,615767,292597,102996,8,13,0
