instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,1,50,29.253,0,93154,27728,13409,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,2,50,56.143,0,184250,59509,27205,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,3,50,88.993,0,273974,91597,41564,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,4,50,114.739,0,361742,131675,56046,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,5,50,151.417,0,447667,177416,71859,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,6,50,174.702,0,531418,213066,87161,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,7,50,193.393,0,609915,290667,107910,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,8,50,194.543,0,609906,287811,107919,7,8,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,9,50,199.492,0,609910,290891,107915,7,9,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/24.json,10,50,208.641,0,609873,290565,107952,7,10,0
