instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,1,50,9.501,0,94103,42732,13434,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,2,50,20.964,0,186231,80914,27242,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,3,50,30.410,0,276941,114814,41069,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,4,50,40.931,0,365478,143262,54519,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,5,50,51.735,0,452383,179564,68609,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,6,50,60.551,0,534016,220097,83863,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,7,50,65.644,0,599677,276420,99022,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,8,50,66.456,0,599677,276420,99022,7,8,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,9,50,65.331,0,599677,276420,99022,7,9,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/21.json,10,50,65.260,0,599677,276420,99022,7,10,0
