instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,1,50,5.355,0,16380,28138,10920,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,2,50,9.780,0,31830,65874,21870,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,3,50,14.480,0,46911,110004,33189,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,4,50,19.669,0,61675,144604,44825,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,5,50,23.431,0,75504,193091,57396,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,6,50,28.035,0,88071,244764,71929,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,7,50,33.100,0,99616,321028,86784,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,8,50,37.188,0,107190,405818,104410,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,9,50,38.617,0,109797,501901,121603,9,9,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,10,50,37.910,0,109797,501901,121603,9,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,11,50,37.369,0,109797,501901,121603,9,11,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,12,50,37.017,0,109797,501901,121603,9,12,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,13,50,37.668,0,109797,501901,121603,9,13,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,14,50,37.142,0,109797,501901,121603,9,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,15,50,37.260,0,109797,501901,121603,9,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,16,50,37.237,0,109797,501901,121603,9,16,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,17,50,37.208,0,109797,501901,121603,9,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,18,50,36.393,0,109797,501901,121603,9,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,19,50,36.699,0,109797,501901,121603,9,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/2.json,20,50,36.415,0,109797,501901,121603,9,20,0
