instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,1,50,8.773,0,26254,51359,14626,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,2,50,19.936,0,51335,111034,30265,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,3,50,28.683,0,71711,157298,44089,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,4,50,39.013,0,91117,229691,62323,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,5,50,48.745,0,109686,285347,78404,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,6,50,59.535,0,125274,377670,98416,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,7,50,65.554,0,132677,484299,118353,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,8,50,63.867,0,132500,575939,131820,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,9,50,64.099,0,132500,575939,131820,8,9,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,10,50,63.348,0,132464,576913,131856,8,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,11,50,62.370,0,132464,576913,131856,8,11,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,12,50,63.983,0,132500,575939,131820,8,12,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,13,50,63.456,0,132464,576913,131856,8,13,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,14,50,63.630,0,132464,576913,131856,8,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,15,50,64.640,0,132500,575939,131820,8,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,16,50,64.160,0,132500,575939,131820,8,16,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,17,50,62.566,0,132817,571850,131503,8,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,18,50,63.199,0,132781,572825,131539,8,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,19,50,63.339,0,132702,577627,131618,8,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/5.json,20,50,62.339,0,132702,577627,131618,8,20,0
