instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,1,50,1.547,0,8103,23203,6897,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,2,50,2.299,0,15679,69214,15881,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,3,50,3.694,0,23218,87588,23342,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,4,50,4.303,0,30666,143226,32874,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,5,50,5.519,0,37081,187991,41459,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,6,50,6.238,0,43296,244687,51324,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,7,50,6.869,0,49165,278313,60455,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,8,50,7.991,0,54473,328065,71347,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,9,50,9.032,0,59368,364727,81452,9,9,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,10,50,9.658,0,63669,415097,92511,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,11,50,10.007,0,66880,470974,104300,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,12,50,10.401,0,69271,538100,116909,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,13,50,11.198,0,71173,599147,130247,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,14,50,11.750,0,70805,659506,142615,14,14,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,15,50,11.980,0,70321,736341,156359,15,15,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,16,50,11.552,0,66250,846183,172670,16,16,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,17,50,12.492,0,66250,846183,172670,16,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,18,50,11.728,0,66250,846183,172670,16,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,19,50,11.662,0,66250,846183,172670,16,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/3.json,20,50,12.160,0,66250,846183,172670,16,20,0
