instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,1,50,0.704,0,7694,19136,6706,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,2,50,1.265,0,14830,37212,13370,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,3,50,1.667,0,20706,58480,20094,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,4,50,2.077,0,26566,89033,26834,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,5,50,2.461,0,31907,111051,33493,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,6,50,2.740,0,36680,134738,40120,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,7,50,3.014,0,41332,163213,46868,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,8,50,3.310,0,45917,189989,53683,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,9,50,3.572,0,50099,213382,60301,9,9,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,10,50,3.777,0,54088,241351,67112,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,11,50,3.937,0,57297,268095,73743,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,12,50,4.079,0,60351,289925,80289,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,13,50,4.236,0,63193,322248,87047,13,13,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,14,50,4.375,0,66034,347746,93806,14,14,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,15,50,4.512,0,68301,375695,100539,15,15,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,16,50,4.650,0,70004,405689,107236,16,16,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,17,50,4.677,0,71683,432488,113957,17,17,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,18,50,4.786,0,72156,468503,120684,18,18,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,19,50,4.900,0,72204,498596,127476,19,19,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,20,50,4.898,0,72204,534215,134076,20,20,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,21,50,4.894,0,71646,562498,140634,21,21,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,22,50,4.886,0,71646,562498,140634,21,22,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,23,50,4.888,0,71646,562498,140634,21,23,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,24,50,4.888,0,71646,562498,140634,21,24,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,25,50,4.916,0,71646,562498,140634,21,25,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,26,50,4.907,0,71646,562498,140634,21,26,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,27,50,4.908,0,71646,562498,140634,21,27,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,28,50,4.914,0,71646,562498,140634,21,28,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,29,50,4.934,0,71646,562498,140634,21,29,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,30,50,4.907,0,71646,562498,140634,21,30,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,31,50,4.976,0,71646,562498,140634,21,31,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,32,50,5.006,0,71646,562498,140634,21,32,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,33,50,4.951,0,71646,562498,140634,21,33,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,34,50,4.937,0,71646,562498,140634,21,34,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,35,50,4.969,0,71646,562498,140634,21,35,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,36,50,4.989,0,71646,562498,140634,21,36,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,37,50,4.998,0,71646,562498,140634,21,37,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,38,50,4.984,0,71646,562498,140634,21,38,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,39,50,4.983,0,71646,562498,140634,21,39,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/1.json,40,50,4.996,0,71646,562498,140634,21,40,0
