instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,1,50,24.634,0,92938,36707,14189,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,2,50,52.608,0,183460,71850,28930,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,3,50,76.273,0,272870,109039,42241,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,4,50,99.687,0,360560,152792,57519,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,5,50,131.430,0,446266,199115,73485,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,6,50,160.250,0,529370,243413,89969,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,7,50,189.651,0,607332,319461,110167,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,8,50,192.573,0,607330,322238,110169,7,8,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,9,50,190.761,0,607331,319461,110168,7,9,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/23.json,10,50,189.667,0,607332,319461,110167,7,10,0
