instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,1,50,0.206,0,3121,12884,3479,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,2,50,0.260,0,3121,12884,3479,1,2,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,3,50,0.326,0,3121,12884,3479,1,3,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,4,50,0.384,0,3121,12884,3479,1,4,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,5,50,0.453,0,3121,12884,3479,1,5,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,6,50,0.500,0,3121,12884,3479,1,6,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,7,50,0.560,0,3121,12884,3479,1,7,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,8,50,0.622,0,3121,12884,3479,1,8,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,9,50,0.674,0,3121,12884,3479,1,9,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,10,50,0.736,0,3121,12884,3479,1,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,11,50,0.796,0,3121,12884,3479,1,11,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,12,50,0.856,0,3121,12884,3479,1,12,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,13,50,0.911,0,3121,12884,3479,1,13,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,14,50,0.972,0,3121,12884,3479,1,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,15,50,1.033,0,3121,12884,3479,1,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,16,50,1.086,0,3121,12884,3479,1,16,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,17,50,1.146,0,3121,12884,3479,1,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,18,50,1.210,0,3121,12884,3479,1,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,19,50,1.408,0,3121,12884,3479,1,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,20,50,1.328,0,3121,12884,3479,1,20,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,21,50,1.401,0,3121,12884,3479,1,21,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,22,50,1.447,0,3121,12884,3479,1,22,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,23,50,1.497,0,3121,12884,3479,1,23,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,24,50,1.573,0,3121,12884,3479,1,24,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,25,50,1.622,0,3121,12884,3479,1,25,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,26,50,1.692,0,3121,12884,3479,1,26,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,27,50,1.751,0,3121,12884,3479,1,27,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,28,50,1.819,0,3121,12884,3479,1,28,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,29,50,1.865,0,3121,12884,3479,1,29,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,30,50,1.926,0,3121,12884,3479,1,30,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,31,50,1.989,0,3121,12884,3479,1,31,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,32,50,2.071,0,3121,12884,3479,1,32,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,33,50,2.148,0,3121,12884,3479,1,33,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,34,50,2.190,0,3121,12884,3479,1,34,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,35,50,2.217,0,3121,12884,3479,1,35,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,36,50,2.293,0,3121,12884,3479,1,36,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,37,50,2.341,0,3121,12884,3479,1,37,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,38,50,2.398,0,3121,12884,3479,1,38,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,39,50,2.491,0,3121,12884,3479,1,39,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/8.json,40,50,2.518,0,3121,12884,3479,1,40,0
