instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,1,50,4.694,0,12502,31530,9398,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,2,50,8.246,0,25024,60572,18956,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,3,50,12.324,0,36289,85564,27491,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,4,50,15.501,0,47967,105518,35613,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,5,50,19.417,0,59388,136568,44092,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,6,50,23.205,0,70376,163180,52904,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,7,50,26.764,0,80468,195559,62612,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,8,50,30.495,0,89701,235144,73179,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,9,50,32.297,0,98492,284428,85088,9,9,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,10,50,33.009,0,106501,327436,96879,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,11,50,37.284,0,111802,392873,111498,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,12,50,35.331,0,112675,458742,125025,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,13,50,35.144,0,112902,455064,124798,12,13,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,14,50,36.294,0,112902,455064,124798,12,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,15,50,35.265,0,112965,453651,124735,12,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,16,50,36.254,0,112902,455064,124798,12,16,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,17,50,35.185,0,112902,455060,124798,12,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,18,50,35.952,0,112902,455064,124798,12,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,19,50,35.915,0,112902,455064,124798,12,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/4.json,20,50,35.995,0,112954,454410,124746,12,20,0
