instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,1,50,1.097,0,7940,28650,8860,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,2,50,2.105,0,15484,60114,18116,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,3,50,2.959,0,22591,97109,27809,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,4,50,4.054,0,29157,132738,38043,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,5,50,4.796,0,35169,172704,48831,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,6,50,5.458,0,41046,219923,59754,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,7,50,6.469,0,46688,269331,70912,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,8,50,7.168,0,52073,318785,82327,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,9,50,8.136,0,57198,369571,94002,9,9,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,10,50,8.985,0,60766,419748,106634,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,11,50,9.018,0,60766,419748,106634,10,11,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,12,50,8.943,0,60766,419748,106634,10,12,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,13,50,9.088,0,60766,419748,106634,10,13,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,14,50,8.967,0,60766,419748,106634,10,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,15,50,8.977,0,60766,419748,106634,10,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/7.json,16,50,9.042,0,60766,419748,106634,10,16,0
